Pitcher_ID,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
643256,RP,Adam Cimber,32,0,2,0,7.4,22,0,6,0,0,1,20.2,25,18,17,6,7,0,12,4,0,0,95,58,7.46,1.548,10.9,2.6,3,5.2,1.71
666201,SP,Alek Manoah,25,3,9,0.25,5.87,19,19,0,0,0,0,87.1,93,61,57,15,59,1,79,9,3,3,415,72,6.01,1.74,9.6,1.5,6.1,8.1,1.34
542914,RP,Anthony Bass,35,0,0,,4.95,22,0,7,0,0,0,20,19,12,11,3,9,2,19,0,0,1,88,87,4.66,1.4,8.6,1.4,4.1,8.6,2.11
670102,RP,Bowden Francis,27,1,0,1,1.73,20,0,11,0,0,1,36.1,22,7,7,5,8,0,35,1,2,1,136,247,3.86,0.826,5.4,1.2,2,8.7,4.38
643338,RP,Chad Green,32,3,0,1,5.25,12,0,2,0,0,0,12,12,10,7,1,4,1,16,0,0,0,52,83,2.67,1.333,9,0.8,3,12,4
605135,SP,Chris Bassitt,34,16,8,0.667,3.6,33,33,0,1,1,0,200,176,88,80,28,59,2,186,12,3,4,826,118,4.28,1.175,7.9,1.3,2.7,8.4,3.15
657024,RP,Erik Swanson,29,4,2,0.667,2.97,69,0,13,0,0,4,66.2,52,22,22,8,21,0,75,0,0,0,262,143,3.51,1.095,7,1.1,2.8,10.1,3.57
676391,RP,Ernie Clement,27,0,0,,9,1,0,1,0,0,0,1,3,1,1,0,0,0,0,1,0,0,7,64,6.26,3,27,0,0,0,
650893,RP,Génesis Cabrera,26,1,0,1,2.66,29,0,2,0,0,0,23.2,17,10,7,2,6,3,20,2,0,1,96,162,3.68,0.972,6.5,0.8,2.3,7.6,3.33
668470,RP,Hagen Danner,24,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.26,0,0,0,0,0,
547943,SP,Hyun Jin Ryu,36,3,3,0.5,3.46,11,11,0,0,0,0,52,53,25,20,9,14,0,38,1,0,1,224,123,4.91,1.288,9.2,1.6,2.4,6.6,2.71
543351,RP,Jay Jackson,35,3,1,0.75,2.12,25,0,10,0,0,0,29.2,18,8,7,4,9,2,27,1,0,1,116,202,4.2,0.91,5.5,1.2,2.7,8.2,3
663855,RP,Jordan Hicks,26,2,3,0.4,2.63,25,0,10,0,0,4,24,18,9,7,2,8,1,22,1,0,1,96,164,3.63,1.083,6.8,0.8,3,8.3,2.75
605447,CL,Jordan Romano,30,5,7,0.417,2.9,59,0,49,0,0,36,59,48,20,19,6,24,5,72,2,1,0,248,147,3.46,1.22,7.3,0.9,3.7,11,3
621244,SP,José Berríos,29,11,12,0.478,3.65,32,32,0,0,0,0,189.2,173,82,77,25,52,3,184,9,1,4,782,116,3.99,1.186,8.2,1.2,2.5,8.7,3.54
592332,SP,Kevin Gausman,32,12,9,0.571,3.16,31,31,0,0,0,0,185,163,72,65,19,55,0,237,3,2,3,763,134,2.97,1.178,7.9,0.9,2.7,11.5,4.31
669952,RP,Mitch White,28,0,1,0,7.11,10,0,6,0,0,0,12.2,15,11,10,2,7,0,13,0,0,1,60,61,4.91,1.737,10.7,1.4,5,9.2,1.86
663878,RP,Nate Pearson,26,5,2,0.714,4.85,35,0,8,0,0,1,42.2,36,25,23,7,18,2,43,3,0,5,182,88,4.85,1.266,7.6,1.5,3.8,9.1,2.39
641672,RP,Thomas Hatch,28,0,0,,4.26,6,0,4,0,0,0,6.1,10,5,3,0,5,0,10,0,0,0,35,105,2.47,2.368,14.2,0,7.1,14.2,2
641835,RP,Tim Mayza,31,3,1,0.75,1.52,69,0,8,0,0,1,53.1,50,10,9,2,15,3,53,0,0,1,215,281,2.6,1.219,8.4,0.3,2.5,8.9,3.53
663423,RP,Trent Thornton,29,0,0,,1.69,4,0,0,0,0,0,5.1,7,1,1,0,1,0,5,0,0,0,22,268,1.94,1.5,11.8,0,1.7,8.4,5
670950,RP,Trevor Richards,30,2,1,0.667,4.95,56,3,6,0,0,0,72.2,63,41,40,13,35,3,105,2,0,5,315,86,4.22,1.349,7.8,1.6,4.3,13,3
641149,RP,Wes Parsons,30,0,1,0,20.25,1,1,0,0,0,0,4,10,9,9,2,3,0,3,1,0,2,26,23,11.26,3.25,22.5,4.5,6.8,6.8,1
554340,RP,Yimi Garcia,32,3,4,0.429,4.09,73,0,16,0,0,3,66,67,35,30,8,15,1,79,6,0,0,282,104,3.39,1.242,9.1,1.1,2,10.8,5.27
579328,SP,Yusei Kikuchi,32,11,6,0.647,3.86,32,32,0,0,0,0,167.2,165,78,72,27,48,0,181,4,0,7,700,110,4.12,1.27,8.9,1.4,2.6,9.7,3.77
647315,RP,Zach Pop,26,1,1,0.5,6.59,15,0,2,0,0,0,13.2,11,11,10,4,6,0,14,0,0,1,56,66,6.33,1.244,7.2,2.6,4,9.2,2.33
